weekstart,bones,no-bones,no-video
2021-03-08,0,1,0
2021-08-09,0,1,0
2021-08-16,0,1,0
2021-08-30,0,1,4
2021-09-06,0,0,7
2021-09-13,1,0,6
2021-09-20,0,1,6
2021-09-27,1,1,5
2021-10-04,1,2,4
2021-10-11,3,3,1
2021-10-18,3,3,1
2021-10-25,3,1,3
2021-11-01,3,3,1
2021-11-08,2,2,3
2021-11-15,4,1,2
2021-11-22,3,2,2
2021-11-29,2,3,2
2021-12-06,2,3,2
2021-12-13,3,1,3
2021-12-20,3,1,3
2021-12-27,1,2,4
2022-01-03,1,1,5
2022-01-10,2,2,3
2022-01-17,2,2,3
2022-01-24,1,0,6
2022-01-31,0,0,7
2022-02-07,0,0,7
2022-02-14,0,0,7
2022-02-21,1,2,4
2022-02-28,0,1,6
2022-03-07,1,1,5
2022-03-14,1,1,5
2022-03-21,0,3,4
2022-03-28,1,2,4
2022-04-04,1,2,4
