weekstart,n_comments
2021-08-09,1439
2021-08-16,532
2021-08-30,288
2021-09-13,932
2021-09-20,2936
2021-09-27,2934
2021-10-04,26283
2021-10-11,79095
2021-10-18,156558
2021-10-25,67600
2021-11-01,50369
2021-11-08,37206
2021-11-15,19626
2021-11-22,15948
2021-11-29,14278
2021-12-06,18441
2021-12-13,14057
2021-12-20,9664
2021-12-27,6365
2022-01-03,3616
2022-01-10,7912
2022-01-17,6562
2022-01-24,1215
2022-02-21,6544
2022-02-28,629
2022-03-07,4924
2022-03-14,3006
2022-03-21,2551
2022-03-28,11054
2022-04-04,1434
