weekstart,n_plays
2021-08-09,2300000
2021-08-16,0
2021-08-30,0
2021-09-13,0
2021-09-20,0
2021-09-27,0
2021-10-04,26400000
2021-10-11,36800000
2021-10-18,58600000
2021-10-25,23600000
2021-11-01,17900000
2021-11-08,9700000
2021-11-15,8338000
2021-11-22,9237600
2021-11-29,5831700
2021-12-06,5343500
2021-12-13,3181700
2021-12-20,3983600
2021-12-27,2175800
2022-01-03,1317200
2022-01-10,1855000
2022-01-17,1347600
2022-01-24,449500
2022-02-21,2494600
2022-02-28,274500
2022-03-07,2698800
2022-03-14,963900
2022-03-21,864700
2022-03-28,7225000
2022-04-04,606400
